,engine_capacity,type,registration_year,gearbox,power,model,mileage,fuel,brand,damage,zipcode,insurance_price,price
13581,,small car,2001,manual,95,polo,150000,diesel,volkswagen,0,35415,120.0,1911
56076,1.9,limousine,2004,manual,105,golf,125000,diesel,volkswagen,,32547,100.0,2275
10233,,station wagon,1996,,75,astra,150000,gasoline,opel,,65934,60.0,546
37444,,small car,2002,manual,0,2_reihe,150000,gasoline,peugeot,0,72202,90.0,727
7241,2.7,limousine,2007,auto,207,s_type,80000,diesel,jaguar,0,84453,740.0,11193
29146,,limousine,2011,manual,184,3er,80000,diesel,bmw,0,26215,810.0,14742
8162,,small car,1997,manual,60,fiesta,150000,gasoline,ford,0,27356,50.0,546
32504,,bus,1994,auto,110,transporter,150000,gasoline,volkswagen,0,92637,380.0,7785
45792,,convertible,2000,manual,170,3er,150000,gasoline,bmw,0,26969,340.0,5096
29460,,,2010,auto,90,polo,80000,diesel,volkswagen,,67435,390.0,9009
23947,,coupé,1977,manual,75,andere,60000,gasoline,seat,,99510,,455
16069,,convertible,1978,manual,140,,10000,gasoline,sonstige_autos,,74196,4320.0,23660
96969,2.4,station wagon,2003,manual,175,156,150000,diesel,alfa_romeo,0,13589,90.0,2184
47867,1.9,station wagon,2004,manual,150,a4,150000,diesel,audi,,66822,240.0,3503
53020,,limousine,1997,auto,235,5er,150000,gasoline,bmw,,71069,100.0,1365
68628,1.4,small car,2003,manual,75,lupo,90000,gasoline,volkswagen,0,74613,150.0,3275
15820,,bus,1999,manual,101,zafira,150000,gasoline,opel,0,1689,150.0,1547
64736,2.2,convertible,2003,manual,147,astra,90000,gasoline,opel,0,48683,290.0,4540
46254,,,1990,manual,80,andere,100000,liquefied petroleum gas,suzuki,1,52457,130.0,637
65485,,limousine,1995,auto,150,5er,150000,gasoline,bmw,0,65468,100.0,1819
96715,,limousine,2011,manual,143,1er,90000,diesel,bmw,1,13127,1350.0,11375
51921,1.8,limousine,2000,manual,116,vectra,150000,gasoline,opel,0,71737,180.0,2593
14613,,bus,2003,,0,v_klasse,150000,,mercedes_benz,,45475,80.0,1365
41269,,convertible,11,manual,179,megane,100000,gasoline,renault,0,66115,,5241
69408,1.4,limousine,2003,manual,75,golf,125000,gasoline,volkswagen,0,42853,290.0,2593
65654,,bus,2007,manual,109,sprinter,150000,diesel,mercedes_benz,0,22761,270.0,5005
87285,1.6,limousine,1999,manual,101,a3,150000,gasoline,audi,1,65779,120.0,1001
16771,,limousine,2008,manual,204,1er,150000,diesel,bmw,0,86825,910.0,10510
59755,2.0,limousine,2006,,0,a6,150000,diesel,audi,0,35396,470.0,3549
51997,,convertible,2006,auto,325,911,80000,gasoline,porsche,0,82064,2600.0,38993
16688,,,2016,auto,0,fortwo,70000,compressed natural gas,smart,1,58515,130.0,2538
77025,2.0,station wagon,2011,manual,170,octavia,150000,diesel,skoda,0,44147,720.0,9090
96410,1.7,bus,04,manual,101,meriva,150000,diesel,opel,0,42499,,2956
24251,,limousine,2002,manual,100,carisma,40000,gasoline,mitsubishi,0,24790,130.0,2184
91531,,station wagon,2007,manual,122,3er,150000,diesel,bmw,0,96157,140.0,5915
26752,1.2,small car,2001,auto,61,lupo,150000,diesel,volkswagen,0,85375,230.0,3458
20852,8.5,convertible,1997,auto,136,slk,150000,gasoline,mercedes_benz,0,44267,200.0,4095
79317,,station wagon,2007,manual,150,c_klasse,150000,diesel,mercedes_benz,0,73037,230.0,4095
21678,,,1992,manual,80,andere,150000,gasoline,suzuki,0,6727,190.0,2729
53262,2.0,station wagon,2011,manual,140,passat,125000,diesel,volkswagen,0,41066,810.0,11329
39777,,small car,2004,,0,ka,150000,gasoline,ford,0,6388,50.0,1201
94076,,bus,2002,manual,207,andere,150000,gasoline,renault,0,68219,380.0,5005
74667,1.6,limousine,2003,manual,84,astra,150000,gasoline,opel,0,41462,140.0,2047
39065,,limousine,2001,manual,0,c_klasse,150000,gasoline,mercedes_benz,,63069,270.0,3094
48611,,limousine,1994,manual,136,c_klasse,150000,gasoline,mercedes_benz,0,24376,110.0,1228
64368,,station wagon,2004,manual,150,vectra,150000,,opel,,9432,140.0,1820
47009,,convertible,1994,manual,150,3er,150000,gasoline,bmw,,34537,170.0,2002
70102,,coupé,2002,manual,420,911,150000,gasoline,porsche,0,50672,5320.0,57326
57642,,small car,2002,manual,65,polo,100000,gasoline,volkswagen,0,59423,250.0,2730
47360,1.8,convertible,2010,manual,140,astra,50000,gasoline,opel,0,21079,690.0,9555
23030,,station wagon,2001,manual,118,3er,150000,gasoline,bmw,0,99310,160.0,2366
95452,,small car,2002,manual,105,golf,50000,gasoline,volkswagen,0,44388,320.0,4095
69210,2.2,bus,2004,manual,90,andere,70000,diesel,renault,0,21037,200.0,4095
74067,1.4,bus,2005,manual,90,meriva,150000,gasoline,opel,0,44581,270.0,2683
97640,1.0,small car,1997,manual,60,micra,150000,gasoline,nissan,0,71554,,455
75970,2.5,convertible,2003,manual,163,a4,150000,diesel,audi,0,75177,360.0,5824
81131,,coupé,2008,auto,224,andere,150000,diesel,mercedes_benz,0,89362,950.0,16835
70593,1.1,small car,2001,manual,60,1_reihe,150000,gasoline,peugeot,0,80686,120.0,800
77017,1.2,small car,2007,manual,80,corsa,150000,gasoline,opel,0,94518,270.0,2957
15167,,,2016,auto,140,tiguan,150000,diesel,volkswagen,0,55494,,13649
40340,,,2016,manual,109,andere,150000,,peugeot,0,36304,,1819
99785,2.0,station wagon,11,manual,140,passat,60000,diesel,volkswagen,0,83539,,12285
57202,,convertible,2005,manual,136,3_reihe,125000,gasoline,peugeot,0,39110,320.0,5459
70692,,limousine,2004,auto,150,3er,150000,diesel,bmw,0,27576,400.0,4322
83886,,limousine,95,auto,136,,150000,diesel,mercedes_benz,,60326,,728
51504,1.6,limousine,2008,manual,109,c4,125000,diesel,citroen,0,76889,590.0,4540
69651,,small car,1997,manual,45,,100000,gasoline,volkswagen,,83043,50.0,682
27906,2.0,station wagon,2005,manual,140,a4,150000,diesel,audi,0,89584,370.0,5277
53623,1.0,small car,2003,manual,50,lupo,125000,gasoline,volkswagen,0,92648,50.0,1319
23031,1.6,limousine,2005,manual,0,focus,150000,diesel,ford,0,79110,210.0,1911
11685,,,2000,,0,megane,150000,,renault,,6682,50.0,1365
43567,1.6,limousine,2001,manual,0,astra,150000,gasoline,opel,0,84329,80.0,1456
5190,,limousine,1987,manual,129,5er,30000,gasoline,bmw,0,94527,330.0,5459
6788,,bus,2002,manual,101,transit,150000,diesel,ford,0,55122,90.0,773
38293,1.4,small car,2011,manual,87,corsa,40000,gasoline,opel,0,59602,570.0,8644
31828,,,1997,auto,254,andere,150000,liquefied petroleum gas,chevrolet,0,47800,550.0,8099
35848,2.2,station wagon,2011,manual,200,mondeo,50000,diesel,ford,0,10115,470.0,6370
42856,,limousine,2009,auto,286,x_reihe,50000,diesel,bmw,0,60386,2380.0,31850
27302,2.0,convertible,03,manual,135,megane,150000,gasoline,renault,0,27283,,3185
77211,,small car,2002,,114,almera,150000,gasoline,nissan,,35396,100.0,910
1621,2.7,limousine,2008,auto,190,a4,150000,diesel,audi,0,72555,520.0,13559
86125,1.4,limousine,2011,manual,122,golf,50000,gasoline,volkswagen,0,58762,640.0,11147
46800,,station wagon,2002,manual,75,astra,150000,diesel,opel,1,65474,130.0,1092
25559,2.0,limousine,05,manual,150,passat,100000,gasoline,volkswagen,0,12689,,7007
31282,,station wagon,2008,manual,109,focus,150000,diesel,ford,,25715,280.0,4368
97661,1.6,station wagon,09,manual,179,insignia,70000,gasoline,opel,0,9477,,12730
72577,1.2,small car,2001,manual,60,ypsilon,150000,gasoline,lancia,0,20255,100.0,1274
13992,,station wagon,1998,manual,0,passat,150000,gasoline,volkswagen,,39112,60.0,728
10098,,station wagon,1996,manual,150,5er,150000,gasoline,bmw,0,56281,130.0,2002
1566,,small car,2002,manual,60,ypsilon,150000,gasoline,lancia,0,44287,70.0,864
60538,,small car,1996,manual,45,corsa,125000,gasoline,opel,0,42853,60.0,505
49614,1.4,small car,2004,manual,75,polo,150000,diesel,volkswagen,0,15320,100.0,2002
74018,,small car,2003,manual,64,polo,150000,gasoline,volkswagen,0,57072,150.0,1592
26324,1.8,limousine,2001,manual,120,laguna,125000,gasoline,renault,0,34123,100.0,2184
94648,,,2014,auto,105,yeti,40000,diesel,skoda,0,99310,1520.0,18199
21255,,,2014,manual,150,,30000,,audi,0,85077,2180.0,23478
30085,,limousine,1998,manual,0,5er,150000,gasoline,bmw,0,1189,130.0,1547
61997,,limousine,06,auto,163,1er,125000,diesel,bmw,0,59755,,11739
43716,1.6,small car,2010,manual,95,fiesta,80000,diesel,ford,0,42929,540.0,7280
35812,,limousine,2004,manual,105,golf,150000,diesel,volkswagen,,59755,210.0,4231
40595,1.6,station wagon,2003,manual,97,astra,150000,compressed natural gas,opel,0,63796,80.0,1001
71037,,,2016,manual,177,5er,150000,diesel,bmw,0,73266,,6779
85114,1.2,small car,2008,manual,75,fusion,125000,gasoline,ford,0,52080,190.0,3321
42959,1.2,limousine,2010,manual,82,fiesta,40000,gasoline,ford,0,21075,210.0,5733
21981,,limousine,1994,manual,116,80,150000,gasoline,audi,0,21776,,483
42911,,limousine,1996,auto,122,c_klasse,150000,gasoline,mercedes_benz,0,28309,170.0,3367
48346,1.0,small car,1999,manual,54,micra,150000,gasoline,nissan,0,97337,,455
31724,,limousine,2010,manual,143,3er,90000,gasoline,bmw,0,84056,690.0,13649
34004,,convertible,1985,manual,28,andere,125000,gasoline,citroen,,37671,370.0,4413
78325,1.8,convertible,1997,manual,75,golf,150000,gasoline,volkswagen,0,56154,,455
94163,,station wagon,1998,manual,125,,150000,gasoline,volkswagen,0,37170,50.0,910
29478,,small car,2001,manual,58,twingo,150000,diesel,renault,0,13585,90.0,809
38867,1.3,small car,2008,manual,93,swift,125000,gasoline,suzuki,0,92655,390.0,4550
4630,,limousine,2010,manual,75,clio,40000,gasoline,renault,,22547,250.0,5459
92263,,convertible,65,auto,204,andere,125000,gasoline,mercedes_benz,0,71546,,56238
6750,,station wagon,2006,manual,150,3er,125000,gasoline,bmw,0,1589,450.0,8371
63062,1.9,bus,2001,manual,101,andere,150000,gasoline,mazda,1,18273,140.0,819
24434,,small car,2002,manual,60,twingo,150000,gasoline,renault,0,55411,100.0,1365
63713,,,2002,auto,266,andere,150000,liquefied petroleum gas,chevrolet,0,63454,740.0,13013
53471,1.5,small car,2007,manual,68,clio,150000,diesel,renault,0,49716,150.0,2729
59890,,convertible,2000,manual,131,andere,125000,gasoline,fiat,0,67454,210.0,2684
61000,,coupé,1994,manual,116,andere,150000,gasoline,ford,0,67434,80.0,682
64905,,limousine,1991,manual,192,5er,150000,liquefied petroleum gas,bmw,0,75181,120.0,910
3909,1.4,small car,2004,manual,68,fiesta,150000,diesel,ford,0,52391,160.0,1683
16506,,bus,2014,manual,179,transporter,40000,diesel,volkswagen,0,51647,2020.0,35399
15394,,small car,2004,manual,75,2_reihe,150000,gasoline,peugeot,0,34497,30.0,1365
18692,2.0,station wagon,2012,manual,194,insignia,150000,diesel,opel,0,88045,1020.0,14833
12638,,,2016,manual,90,a4,150000,,audi,0,33178,50.0,1638
16940,1.6,station wagon,2002,manual,101,astra,125000,gasoline,opel,0,90478,150.0,1729
89700,1.6,station wagon,2000,manual,101,astra,150000,gasoline,opel,0,16259,30.0,900
86692,,bus,2001,manual,102,transporter,150000,diesel,volkswagen,0,26386,480.0,4550
5103,,bus,08,auto,109,b_klasse,150000,diesel,mercedes_benz,1,97618,,4549
38843,,coupé,2001,manual,231,3er,150000,gasoline,bmw,1,93437,260.0,2275
54232,1.4,limousine,2012,manual,140,insignia,60000,gasoline,opel,0,45525,690.0,12649
94458,,small car,2012,manual,86,corsa,60000,gasoline,opel,0,45721,670.0,7189
38659,1.9,station wagon,2004,manual,101,passat,150000,diesel,volkswagen,0,39104,70.0,1364
30391,,small car,1999,manual,50,polo,150000,gasoline,volkswagen,0,21035,70.0,909
270,,limousine,1992,manual,116,80,150000,gasoline,audi,0,85134,120.0,1774
78322,,limousine,2006,manual,150,,70000,,bmw,0,45356,640.0,6825
80122,,limousine,07,auto,272,c_klasse,150000,liquefied petroleum gas,mercedes_benz,0,44809,,15015
60009,,small car,2009,manual,75,one,80000,gasoline,mini,,45968,630.0,6552
58994,,limousine,2013,auto,184,x_reihe,30000,diesel,bmw,0,44532,2730.0,32032
44482,1.4,limousine,11,manual,80,golf,100000,gasoline,volkswagen,0,70372,,8189
34417,,limousine,1999,manual,170,5er,150000,gasoline,bmw,,97422,40.0,1501
18485,,bus,2006,manual,109,c_max,150000,diesel,ford,0,41334,290.0,3639
25523,,limousine,79,auto,90,andere,60000,gasoline,opel,0,79104,,3185
76045,,small car,1991,manual,45,polo,125000,gasoline,volkswagen,,6556,,455
98834,,bus,2001,manual,75,transit,150000,diesel,ford,0,4435,140.0,2274
2401,,,2016,manual,80,golf,150000,gasoline,volkswagen,1,70376,210.0,3908
8818,1.9,limousine,1996,manual,90,golf,150000,diesel,volkswagen,0,21217,60.0,728
81372,1.4,limousine,1999,manual,90,civic,125000,gasoline,honda,0,98559,130.0,910
92619,,limousine,1994,manual,71,astra,100000,gasoline,opel,,48366,80.0,728
61158,,small car,02,manual,0,twingo,150000,gasoline,renault,0,33161,,455
8782,,convertible,2011,manual,345,911,10000,gasoline,porsche,0,60386,4970.0,67294
45930,,station wagon,2000,manual,184,3er,150000,,bmw,0,85055,140.0,3185
54152,1.6,limousine,1997,manual,75,golf,150000,gasoline,volkswagen,0,29389,70.0,1137
73053,,,2012,auto,306,,60000,gasoline,mercedes_benz,,86833,1230.0,21840
93604,,station wagon,2002,auto,231,5er,150000,gasoline,bmw,0,82487,110.0,3321
42819,,limousine,2002,manual,192,3er,150000,gasoline,bmw,0,56337,170.0,4044
80135,,,05,,0,ka,125000,,ford,,31275,,500
84772,1.9,bus,2000,manual,116,sharan,150000,diesel,volkswagen,0,38259,310.0,2912
54783,,,2011,manual,136,1er,70000,gasoline,bmw,,57413,650.0,13650
38222,2.0,limousine,2011,manual,177,a6,80000,diesel,audi,0,60311,520.0,9100
51993,,small car,2007,manual,90,one,150000,gasoline,mini,,47441,290.0,5733
90895,,bus,00,manual,147,galaxy,150000,gasoline,ford,,26605,,2002
39455,,limousine,1999,manual,90,a_klasse,150000,diesel,mercedes_benz,0,72229,50.0,909
6098,2.4,limousine,2005,manual,177,a6,150000,gasoline,audi,0,87600,330.0,5733
70783,,small car,2012,manual,101,corsa,50000,gasoline,opel,0,73230,580.0,7735
35235,,small car,2003,,0,2_reihe,150000,diesel,peugeot,,49661,120.0,1810
16067,,station wagon,2007,manual,163,3er,150000,diesel,bmw,0,19258,430.0,6370
94599,,station wagon,2005,auto,0,e_klasse,125000,diesel,mercedes_benz,0,3042,680.0,9919
23873,,station wagon,2000,manual,136,3er,150000,diesel,bmw,0,46459,140.0,2502
58440,,station wagon,1996,auto,193,a6,150000,gasoline,audi,0,18055,50.0,1365
75614,1.8,station wagon,1998,manual,125,passat,150000,gasoline,volkswagen,,42855,180.0,1638
73276,,small car,1997,manual,46,corsa,150000,gasoline,opel,1,26639,110.0,546
68129,,station wagon,2005,manual,224,,150000,diesel,audi,,35745,420.0,5460
19217,,station wagon,2009,auto,286,5er,150000,diesel,bmw,0,48161,1370.0,17280
12340,,station wagon,2005,auto,190,e_klasse,150000,diesel,mercedes_benz,0,64347,390.0,7721
62938,,limousine,2006,auto,231,5er,150000,diesel,bmw,,27576,610.0,7280
1017,1.0,small car,1999,manual,50,lupo,150000,gasoline,volkswagen,,51371,110.0,728
42082,,bus,2007,manual,115,5_reihe,150000,gasoline,mazda,0,22525,320.0,4995
53665,,limousine,2009,manual,109,i_reihe,125000,gasoline,hyundai,0,45139,180.0,4094
52036,,bus,1996,manual,68,transporter,150000,diesel,volkswagen,0,50126,120.0,1820
25818,2.2,convertible,2004,auto,170,z_reihe,125000,gasoline,bmw,0,33758,560.0,8963
58523,1.6,bus,2002,manual,101,zafira,150000,gasoline,opel,0,35516,200.0,1592
72588,,small car,02,manual,0,punto,150000,,fiat,1,21521,,545
72540,,small car,2002,manual,60,fabia,150000,gasoline,skoda,0,29614,60.0,1274
46289,1.4,limousine,12,manual,99,i_reihe,60000,gasoline,hyundai,0,37589,,9464
44366,,bus,2008,manual,140,transit,150000,diesel,ford,0,18055,310.0,9555
37051,,,00,manual,101,,150000,,volkswagen,0,78132,,546
97952,1.9,station wagon,2000,manual,101,fabia,150000,diesel,skoda,0,54552,120.0,1819
93061,1.6,bus,2011,manual,116,andere,60000,diesel,ford,0,27442,370.0,9964
67532,1.3,small car,2002,manual,86,yaris,150000,gasoline,toyota,0,76297,230.0,2411
53931,2.0,convertible,2006,manual,150,eos,150000,gasoline,volkswagen,0,26382,310.0,5369
46766,,small car,1995,manual,115,golf,150000,gasoline,volkswagen,,71149,60.0,900
43439,,limousine,1995,auto,286,7er,150000,gasoline,bmw,0,73099,50.0,1092
26275,1.3,small car,2007,manual,69,fiesta,125000,gasoline,ford,0,53127,80.0,2411
97248,1.2,small car,2000,manual,58,clio,150000,gasoline,renault,0,45894,60.0,910
70014,,bus,00,manual,0,andere,150000,gasoline,mazda,,22043,,1228
85402,,convertible,2005,manual,109,2_reihe,150000,gasoline,peugeot,0,84494,230.0,3640
38871,1.6,small car,05,manual,102,a3,150000,gasoline,audi,1,51467,,3458
26228,,small car,1997,manual,60,fiesta,100000,gasoline,ford,0,31582,70.0,682
91063,,bus,2015,manual,140,transporter,10000,diesel,volkswagen,0,35713,2770.0,43634
60153,3.0,,2001,manual,0,andere,150000,diesel,nissan,1,85435,260.0,3412
23957,,limousine,1999,manual,82,a_klasse,150000,gasoline,mercedes_benz,0,55411,180.0,1911
7845,2.0,,2011,manual,140,kuga,80000,diesel,ford,0,58791,950.0,13559
71628,2.5,limousine,2007,manual,226,focus,150000,gasoline,ford,0,90513,470.0,7735
83510,,,2009,manual,140,tiguan,150000,diesel,volkswagen,0,31157,570.0,9782
13393,2.4,,1992,manual,0,andere,150000,,opel,,57076,50.0,1183
64996,2.0,limousine,2008,manual,110,golf,150000,diesel,volkswagen,0,86381,430.0,7553
19924,,,2016,,0,ibiza,150000,gasoline,seat,,26810,,1355
60547,,,2016,,130,focus,150000,gasoline,ford,,94542,,546
48326,,station wagon,2006,auto,218,3er,150000,gasoline,bmw,0,33335,1150.0,12740
37666,,station wagon,2004,manual,125,forester,150000,gasoline,subaru,0,34477,320.0,4276
97509,,limousine,2012,auto,457,c_klasse,80000,gasoline,mercedes_benz,0,79576,3790.0,34762
82613,3.0,limousine,1999,auto,211,omega,150000,gasoline,opel,0,79862,110.0,1728
74473,1.2,small car,2003,manual,64,polo,150000,gasoline,volkswagen,0,24254,120.0,2411
237,2.0,station wagon,2004,manual,131,mondeo,150000,diesel,ford,0,66620,120.0,2366
561,,convertible,2002,auto,306,sl,125000,gasoline,mercedes_benz,0,50733,2980.0,29029
49391,1.6,bus,2006,manual,105,meriva,125000,gasoline,opel,0,27755,190.0,3821
50122,,limousine,2003,auto,272,7er,125000,gasoline,bmw,0,80999,230.0,4459
87463,1.6,limousine,2004,manual,75,focus,150000,liquefied petroleum gas,ford,0,51519,130.0,2411
3860,,coupé,1998,manual,150,3er,150000,gasoline,bmw,0,32120,80.0,1547
90889,,station wagon,1997,manual,100,passat,150000,gasoline,volkswagen,1,97222,150.0,819
46142,,limousine,99,manual,75,astra,150000,gasoline,opel,0,44807,,1819
12641,1.8,bus,2005,,125,zafira,150000,gasoline,opel,0,26125,250.0,3639
32103,,bus,2007,manual,150,sprinter,5000,diesel,mercedes_benz,,65479,410.0,7553
75829,,,1996,manual,110,defender,150000,diesel,land_rover,,59302,920.0,15288
32482,,bus,2007,auto,140,b_klasse,150000,diesel,mercedes_benz,0,73431,640.0,8053
18314,1.6,limousine,2003,manual,110,golf,150000,gasoline,volkswagen,0,35274,160.0,3094
64416,1.6,bus,2011,manual,90,berlingo,90000,diesel,citroen,,42109,310.0,5460
23430,1.4,small car,2007,manual,80,focus,100000,gasoline,ford,0,22946,170.0,4549
15866,2.8,,2016,manual,204,golf,150000,gasoline,volkswagen,,23628,,3549
51437,,limousine,2004,auto,170,,150000,gasoline,bmw,,41460,220.0,4186
18283,,small car,2004,manual,60,corsa,125000,gasoline,opel,1,6712,140.0,682
29665,1.8,station wagon,1999,manual,90,andere,125000,gasoline,citroen,,49525,70.0,864
31151,,,2016,,204,e_klasse,150000,gasoline,mercedes_benz,,36199,10.0,910
51190,1.4,small car,2003,manual,98,clio,125000,gasoline,renault,0,33397,110.0,1774
34864,,coupé,2009,manual,168,scirocco,125000,gasoline,volkswagen,1,72160,780.0,9099
9102,,station wagon,1999,manual,116,focus,150000,gasoline,ford,1,26969,,455
13228,1.9,,2009,manual,105,a3,100000,diesel,audi,0,94116,420.0,8645
71092,,small car,1988,manual,54,fiesta,150000,diesel,ford,,67150,50.0,546
99090,1.4,small car,2001,manual,60,ibiza,150000,gasoline,seat,0,32479,100.0,1228
61528,,small car,2009,manual,65,punto,20000,gasoline,fiat,0,65199,250.0,4731
79571,,,2016,auto,0,fortwo,100000,gasoline,smart,,76316,,2548
41585,,station wagon,1997,manual,150,3er,150000,gasoline,bmw,0,22767,70.0,1273
39050,,station wagon,2002,manual,163,a6,150000,diesel,audi,,85567,80.0,819
3043,,station wagon,1998,manual,90,6_reihe,150000,gasoline,mazda,0,85640,110.0,1273
7046,,bus,2006,manual,140,zafira,100000,gasoline,opel,0,17349,280.0,6369
59161,1.9,limousine,2009,manual,105,a3,150000,diesel,audi,0,48529,470.0,7689
36957,,limousine,2011,manual,204,5er,150000,diesel,bmw,0,46045,1280.0,19019
23221,,,1998,auto,218,m_klasse,150000,gasoline,mercedes_benz,0,49661,320.0,3639
98412,1.3,small car,2009,manual,95,colt,90000,gasoline,mitsubishi,0,60326,440.0,5186
46045,1.2,small car,2002,manual,64,polo,150000,gasoline,volkswagen,0,63225,280.0,2502
52936,1.2,small car,2012,manual,69,ka,30000,gasoline,ford,0,10963,400.0,4823
63421,,bus,2005,manual,90,andere,125000,diesel,ford,0,56729,160.0,2548
2791,,,2006,auto,224,m_klasse,150000,diesel,mercedes_benz,,83022,520.0,12558
45305,,small car,2001,manual,75,2_reihe,125000,gasoline,peugeot,0,92318,40.0,1456
81614,2.0,station wagon,2015,auto,190,passat,20000,diesel,volkswagen,0,36205,2630.0,32760
4892,1.4,station wagon,2008,manual,125,a3,100000,gasoline,audi,0,70374,630.0,9554
28850,,,2010,manual,120,sportage,150000,gasoline,kia,0,71093,880.0,13013
56104,,,2016,manual,70,golf,150000,,volkswagen,,69198,,3185
84429,,,2003,auto,340,cayenne,150000,gasoline,porsche,0,70794,920.0,13468
96709,,small car,2001,manual,60,fiesta,80000,gasoline,ford,0,41236,70.0,900
13559,,bus,2003,manual,116,alhambra,150000,diesel,seat,0,87779,200.0,3321
21683,,small car,2005,manual,68,forfour,150000,diesel,smart,0,78052,210.0,2730
50884,,bus,2007,manual,109,b_klasse,125000,diesel,mercedes_benz,0,51147,350.0,7734
96015,1.6,limousine,1999,manual,101,golf,150000,gasoline,volkswagen,,56235,150.0,1810
7399,1.4,small car,2000,manual,75,lupo,150000,gasoline,volkswagen,0,57635,50.0,1091
81520,5.2,convertible,2013,auto,525,andere,30000,gasoline,audi,0,28844,5610.0,90909
1859,,convertible,2010,auto,184,e_klasse,60000,gasoline,mercedes_benz,0,85221,1390.0,23933
10980,1.6,small car,2014,manual,136,swift,50000,gasoline,suzuki,0,85599,580.0,10920
19710,,coupé,09,,95,punto,5000,gasoline,fiat,,34225,,4322
19118,,limousine,2009,manual,136,3er,125000,diesel,bmw,,93455,930.0,12239
3504,,limousine,2002,manual,129,c_klasse,125000,gasoline,mercedes_benz,0,61449,170.0,5005
52394,3.0,limousine,2007,auto,232,a8,150000,diesel,audi,0,78628,840.0,18190
54088,,,2013,auto,258,andere,50000,diesel,mercedes_benz,0,24107,1030.0,42679
97870,,station wagon,1991,manual,90,,150000,gasoline,volkswagen,0,32120,50.0,1182
27914,,limousine,2001,manual,170,3er,150000,gasoline,bmw,0,14542,420.0,4349
8350,2.0,,2011,manual,170,tiguan,70000,diesel,volkswagen,0,7924,1520.0,17472
81841,,,2016,,0,,150000,diesel,volkswagen,1,27755,30.0,1456
41548,,limousine,1997,manual,150,,150000,gasoline,bmw,0,60385,60.0,2275
84944,1.4,small car,2003,manual,75,,150000,gasoline,volkswagen,,23758,120.0,2720
88260,2.0,station wagon,2010,manual,109,caddy,125000,compressed natural gas,volkswagen,0,59597,740.0,10009
90100,1.2,small car,2005,manual,54,fox,70000,gasoline,volkswagen,0,76228,190.0,2730
57830,,limousine,2009,manual,170,1er,150000,gasoline,bmw,1,89290,1110.0,7735
55562,2.0,bus,2003,manual,200,zafira,150000,gasoline,opel,0,51103,180.0,3412
31245,3.1,bus,2005,manual,94,,150000,diesel,peugeot,0,66798,90.0,2093
65634,2.3,bus,2000,auto,150,andere,150000,gasoline,honda,0,21502,130.0,2138
92437,,limousine,1992,manual,150,5er,150000,gasoline,bmw,0,45327,80.0,545
7099,,,00,,0,punto,125000,,fiat,,31008,,455
99908,1.1,small car,2009,manual,65,picanto,40000,gasoline,kia,0,99091,190.0,3630
64193,,station wagon,2000,manual,100,4_reihe,150000,gasoline,peugeot,,66346,80.0,819
28468,1.2,small car,2006,manual,58,twingo,125000,gasoline,renault,0,86424,210.0,2002
3272,,limousine,2014,manual,75,logan,30000,diesel,dacia,1,12687,690.0,4549
26105,,station wagon,98,manual,137,omega,150000,gasoline,opel,1,55776,,637
55077,,limousine,11,auto,245,x_reihe,125000,diesel,bmw,0,88138,,32759
1456,,limousine,2006,manual,102,,125000,,volkswagen,,6188,370.0,5005
17944,,bus,2006,manual,102,transporter,150000,diesel,volkswagen,1,21709,1010.0,10874
32788,1.4,small car,2006,,80,fiesta,150000,gasoline,ford,0,56276,240.0,3185
76428,1.9,limousine,2000,manual,90,a3,150000,diesel,audi,0,86647,160.0,2684
39380,,bus,2000,manual,145,galaxy,150000,gasoline,ford,0,41238,230.0,2729
40231,,small car,1998,manual,0,twingo,150000,gasoline,renault,0,26683,,455
60767,,station wagon,2011,auto,272,3er,70000,gasoline,bmw,0,51371,1720.0,20475
9173,,limousine,1997,manual,60,punto,150000,gasoline,fiat,0,51067,,455
96946,,convertible,2006,manual,90,one,80000,gasoline,mini,0,21224,320.0,7270
84751,1.0,small car,2006,manual,60,corsa,80000,gasoline,opel,0,31785,200.0,3185
57923,2.2,bus,2003,manual,125,zafira,150000,diesel,opel,0,72793,90.0,1274
29360,,limousine,1989,manual,19,601,60000,gasoline,trabant,0,46342,80.0,891
93376,1.9,convertible,07,manual,150,astra,100000,diesel,opel,0,85635,,6825
52932,2.0,station wagon,2012,manual,140,octavia,150000,diesel,skoda,0,33649,330.0,6006
68659,2.0,station wagon,2013,manual,140,caddy,40000,diesel,volkswagen,0,91481,1290.0,19929
81130,1.6,limousine,1998,manual,0,golf,150000,gasoline,volkswagen,0,26434,180.0,1592
77806,2.0,limousine,2010,manual,140,golf,150000,diesel,volkswagen,0,24787,540.0,9605
10066,2.2,station wagon,2003,manual,121,ptcruiser,150000,diesel,chrysler,0,95236,100.0,1182
95338,,station wagon,2008,auto,579,andere,125000,gasoline,audi,0,35390,1970.0,29120
80542,,,2000,manual,0,a_klasse,150000,gasoline,mercedes_benz,0,10557,120.0,682
89837,,station wagon,2007,manual,105,focus,125000,,ford,0,21509,330.0,4358
30934,1.2,small car,2013,auto,94,andere,40000,gasoline,suzuki,0,44869,760.0,8508
14955,2.0,bus,11,manual,140,sharan,125000,diesel,volkswagen,0,87656,,15925
75909,,small car,1997,manual,110,a3,150000,gasoline,audi,,37339,70.0,909
